Adularia,KAlSi3O8
Bityite,LiCaAl2(AlBeSi2O10)(OH)2
Red Beryl,Be3Al2Si6O18
Bixbyite,Mn3+2O3
Bjarebyite,(BaSr)(Mn2+Fe2+Mg)2Al2(PO4)3(OH)3
Blakeite,Fe3+2[TeO3]3 (?)
Blatterite,Sb5+(Mn3+Fe3+)9(Mn2+Mg)35(BO3)16O32
Blödite,Na2Mg(SO4)2 · 4H2O
Blixite,Pb2(OOH)2Cl
Blossite,α-Cu2(V2O7)
Blue John,CaF2
Blue Lace Agate,SiO2
Bobfergusonite,Na2Mn5FeAl(PO4)6
Bobierrite,Mg3(PO4)2 · 8H2O
Bogdanovite,(AuTePb)3(CuFe)
Bøggildite,Na2Sr2Al2PO4F9
Boggsite,Ca8Na3(SiAl)96O192 · 70H2O
Bøgvadite,Na2SrBa2Al4F20
Bohdanowiczite,AgBiSe2
Böhmite,AlO(OH)
Bohnerz,FeO(OH) · nH2O
Bokite,(AlFe3+)1.3(V5+V4+Fe3+)8O20 · 7.4H2O
Boleite,KPb26Ag9Cu24(OH)48Cl62
Bolivarite,Al2(PO4)(OH)3 · 4-5H2O
Boltwoodite,(KNa)(UO2)(SiO3OH) · 1.5H2O
Bonaccordite,Ni2Fe3+(BO3)O2
Bonattite,CuSO4 · 3H2O
Bonshtedtite,Na3Fe2+(CO3)(PO4)
Boothite,CuSO4 · 7H2O
Boracite,Mg3(B7O13)Cl
Borax,Na2(B4O5)(OH)4 · 8H2O
Borcarite,Ca4Mg(B4O6(OH)6)(CO3)2
Borishanskiite,Pd1+x(AsPb)2  x = 0-0.2
Bornemanite,Na6BaTi2Nb(Si2O7)2(PO4)O2(OH)F
Bornhardtite,Co2+Co3+2Se4
Bornite,Cu5FeS4
Borodaevite,Ag5(BiPbFe)8(SbBi)2S17
Boromuscovite,KAl2(BSi3O10)(OH)2
Borovskite,Pd3SbTe4
Bostwickite,CaMn6Si3O16 · 7H2O
Botallackite,Cu2(OH)3Cl
Botryogen,MgFe3+(SO4)2(OH) · 7H2O
Botryolite,Ca(HBSiO5)
Bottinoite,Ni2+Sb5+2(OH)12 · 6H2O
Bouazzerite (of Cailleres),Mg6Cr2(OH)16[CO3] · 4H2O
Boulangerite,Pb5Sb4S11
Bournonite,PbCuSbS3
Boussingaultite,(NH4)2Mg(SO4)2 · 6H2O
Bowenite,Mg3(Si2O5)(OH)4
Bowieite,(RhIrPt)2S3
Boyleite,(ZnMg)SO4 · 4H2O
Brabantite,CaTh(PO4)2
Bracewellite,CrO(OH)
Brackebuschite,Pb2Mn3+(VO4)2(OH)
Bradleyite,Na3Mg(CO3)(PO4)
Braggite,(PtPdNi)S
Braitschite-(Ce),(CaNa2)7(CeLa)2B22O43 · 7H2O
Brandtite,Ca2Mn2+(AsO4)2 · 2H2O
Brannerite,UTi2O6
Brannockite,(KNa)□2Li3(SnZrTi)2[Si12O30]
Brassite,Mg(HAsO4) · 4H2O
Braunite,Mn2+Mn3+6(SiO4)O8
Bravoite,(FeNi)S2
Brazilianite,NaAl3(PO4)2(OH)4
Bredbergite,(CaMg)3Fe2(SiO4)3
Bredigite,Ca7Mg(SiO4)4
Breithauptite,NiSb
Brenkite,Ca2(CO3)F2
Ferroan Magnesite,(MgFe)CO3
Brewsterlinite,CO2
Brezinaite,Cr3S4
Brüggenite,Ca(IO3)2 · H2O
Thorian Uraninite,(UTh)O2
Brianite,Na2CaMg(PO4)2
Brianyoungite,Zn3(CO3SO4)(OH)4
Briartite,Cu2(FeZn)GeS4
Brindleyite,(NiAl)3(SiAl)2O5(OH)4
Britholite-(Ce),(CeCa)5(SiO4)3OH
Britholite-(Y),(YCa)5(SiO4)3OH
Brizzite,NaSb5+O3
Brizziite,NaSb5+O3
Brochantite,Cu4(SO4)(OH)6
Brockite,(CaThCe)PO4 · H2O
Brodrickite,Mg0.7(MgFeAl)6(SiAl)8O20(OH)4 · 8H2O
Brokenhillite,Mn8Si6O15(OH)10
Bromargyrite,AgBr
Bromellite,BeO
Eta-bronze,Cu6Sn5
Brookite,TiO2
Brossite,CaMg(CO3)2
Brownmillerite,Ca2(AlFe3+)2O5
Brugnatellite,Mg6Fe3+(CO3)(OH)13 · 4H2O
Brunogeierite,Ge4+Fe2+2O4
Brushite,Ca(HPO4) · 2H2O
Buchwaldite,NaCa(PO4)
Buckhornite,AuPb2BiTe2S3
Buddingtonite,(NH4)(AlSi3)O8
Bukovite,Tl2(CuFe)4Se4
Bukovskýite,Fe3+2(AsO4)(SO4)(OH) · 9H2O
Bulachite,Al2(AsO4)(OH)3 · 3H2O
Bultfonteinite,Ca2(HSiO4)F · H2O
Bunsenite,NiO
Burangaite,NaFe2+Al5(PO4)4(OH)6 · 2H2O
Burbankite,(NaCa)3(SrBaCe)3(CO3)5
Burckhardtite,Pb2(Fe3+Te6+)[AlSi3O8]O6
Burkeite,Na6(CO3)(SO4)2
Burpalite,Na2CaZr(Si2O7)F2
Bursaite,Pb5Bi4S11 (?)
Burtite,Ca[Sn(OH)6]
Bustamite,CaMn2+(Si2O6)
Butlerite,Fe3+(SO4)(OH) · 2H2O
Buttgenbachite,Cu19(NO3)2(OH)32Cl4 · 2H2O
Byelorussite-(Ce),NaBa2Ce2MnTi2[Si4O12]2O2(FOH) · H2O
Bystrite,(NaK)7Ca(Al6Si6O24)(S5)Cl
Byströmite,MgSb2O6
Bytownite,(CaNa)[Al(AlSi)Si2O8]
Brammallite,(NaH3O)(AlMgFe)2((SiAl)4O10)(OH)2
Benleonardite,[Ag6(SbAs)2S6Te] [Ag9Cu(STe)2Te2]
Fluor-buergerite,Na(Fe3+3)Al6(Si6O18)(BO3)3O3F
Beryl,Be3Al2(Si6O18)
Brucite,Mg(OH)2
Bütschliite,K2Ca(CO3)2
Brandãosite,(MnFe)4(AlFe)2Si4O15
Ca-Huréaulite,CaMn5(PO4)4 · 4H2O
Calciocelestine,(SrCa)SO4
Calciocopiapite,CaFe4(SO4)6(OH)2 · 10H2O
Calcioburbankite,Na3(CaREESr)3(CO3)5
Calciouranoite,(CaBaPb)U2O7 · 5H2O
Calcioaravaipaite,PbCa2AlF9
Calciohilairite,CaZr[SiO3]3 · 3H2O
Calcioferrite,Ca2Fe3+2(PO4)3(OH) · 7H2O
Calciogadolinite-(Y),(YCa)2Fe3+Be2[SiO4]2O2
Calciotantite,CaTa4O11
Calciothorite,(ThCa2)SiO4 · 3.5H2O
Magnesian Annabergite,(NiMg)3(AsO4)2 · 8H2O
Cabriite,Pd2CuSn
Cacoxenite,Fe3+24AlO6(PO4)17(OH)12 · 75H2O
Calciovolborthite,CaCu(VO4)(OH)
Cadmium,Cd
Cadmian Smithsonite,ZnCO3
Cadmoselite,CdSe
Cadwaladerite,AlCl(OH)2 · 4H2O
Calciobetafite (of Mazzi & Munno),(CaNa)2(NbTi)2(OOH)7
Caesium-Kupletskite,(CsKNa)3(MnFe2+)7(TiNb)2Si8O24(OOHF)7
Cafarsite,Ca5.9Mn1.7Fe3Ti3(AsO3)12 · 4-5H2O
Cafetite,CaTi2O5 · H2O
Cahnite,Ca2[B(OH)4](AsO4)
Calaverite,AuTe2
Calciborite,Ca(B2O4)
Calcioancylite-(Ce),(CeCaSr)CO3(OHH2O)
Calcioancylite-(Nd),Ca(NdLaCe)(CO3)2(OH).H2O
Calcio-duftite,(PbCa)CuAsO4(OH)
Calcite,CaCO3
Calciocatapleiite,CaZr(Si3O9) · 2H2O
Calcjarlite,Na(CaSr)3Al3(OH)2F14
Calclacite,Ca(CH3COO)Cl · 5H2O
Calcurmolite,(CaNa)2(UO2)3Mo2(OOH)11 · nH2O
Calderite,(Mn2+Ca)3(Fe3+Al)2(SiO4)3
Caledonite,Pb5Cu2(SO4)3(CO3)(OH)6
Calkinsite-(Ce),(CeLa)2(CO3)3 · 4H2O
Callaghanite,Cu2Mg2(CO3)(OH)6 · 2H2O
Calomel,(Hg2)2+Cl2
Calumetite,Cu(OHCl)2 · 2H2O
Calzirtite,CaZr3TiO9
Camérolaite,Cu6Al3(OH)18(H2O)2[Sb(OH)6](SO4)
Cameronite,Cu5-x(CuAg)3+xTe10 (x = 0.43)
Camgasite,CaMg(AsO4)(OH) · 5H2O
Caminite,Mg7(SO4)5(OH)4 · H2O
Campigliaite,Mn2+Cu4(SO4)2(OH)6 · 4H2O
Canaphite,Na2Ca(P2O7) · 4H2O
Canasite,K3Na3Ca5Si12O30(OH)4
Canavesite,Mg2(HBO3)(CO3) · 5H2O
Cancrinite,(NaCa☐)8(Al6Si6O24)(CO3SO4)2 · 2H2O
Cancrisilite,Na7(Al5Si7O24)(CO3) · 3H2O
Canfieldite,Ag8SnS6
Cannizzarite,Pb48Bi56S132
Cannonite,Bi2(SO4)O(OH)2
Capgaronnite,AgHgClS
Cappelenite-(Y),Ba(YCe)6Si3B6O24F2
Caracolite,Na3Pb2(SO4)3Cl
Carboborite,Ca2Mg[B(OH)4]2(CO3)2 · 4H2O
Carbocernaite,(CaNa)(SrCeBa)(CO3)2
Carboirite,FeAl2(GeO4)O(OH)2
Carbonatecyanotrichite,Cu4Al2(CO3SO4)(OH)12 · 2H2O
Carbonate-rich Fluorapatite,Ca5(PO4CO3)3(FO)
Carbonate-rich Hydroxylapatite,Ca5(PO4CO3)3(OHO)
Carbonate-Vishnevite,Na8(SiAl)12O24(CO3) · H2O
Carletonite,KNa4Ca4Si8O18(CO3)4(OHF) · H2O
Carlfriesite,CaTe4+2Te6+O8
Carlhintzeite,Ca2[AlF6]F · H2O
Carlinite,Tl2S
Carlosruizite,K6(NaK)4Na6Mg10(SeO4)12(IO3)12 · 12H2O
Carlosturanite,(MgFeTi)21(SiAl)12O28(OH)34•H2O
Carlsbergite,CrN
Carminite,PbFe3+2(AsO4)2(OH)2
Carnallite,KMgCl3 · 6H2O
Carnotite,K2(UO2)2(VO4)2 · 3H2O
Carobbiite,KF
Carpholite,Mn2+Al2(Si2O6)(OH)4
Carrboydite,(Ni1-xAlx)(SO4)x/2(OH)2 · nH2O
Carrollite,Cu(CoNi)2S4
Caryinite,(NaPb)(CaNa)CaMn2+2(AsO4)3
Caryopilite,Mn2+3Si2O5(OH)4
Cascandite,Ca(ScFe3+)(HSi3O9)
Cassedanneite,Pb5(CrO4)2(VO4)2 · H2O
Cassidyite,Ca2Ni(PO4)2 · 2H2O
Cassiterite,SnO2
Caswellsilverite,NaCrS2
Catapleiite,Na2Zr(Si3O9) · 2H2O
Cattierite,CoS2
Cavansite,Ca(VO)Si4O10 · 4H2O
Caysichite-(Y),Ca2Y2Si4O10(CO3)3 · 4H2O
Cebaite-(Ce),Ba3Ce2(CO3)5F2
Cebollite,Ca5Al2(SiO4)3(OH)4
Čechite,PbFe2+(VO4)(OH)
Celadonite,K(MgFe2+)Fe3+(Si4O10)(OH)2
Celestine,SrSO4
Celsian,Ba(Al2Si2O8)
Cerianite-(Ce),(Ce4+Th)O2
Ceriopyrochlore (of Hogarth 1977),A2Nb2(OOH)6Z
Cerite-(Ce),(CeCa)9(MgFe)(SiO4)3(HSiO4)4(OH)3
Cerotungstite-(Ce),(CeNdY)W2O6(OH)3
Ceruleite,Cu2Al7(AsO4)4(OH)13 · 11.5H2O
Cerussite,PbCO3
Cervandonite-(Ce),(CeNdLa)(Fe3+Fe2+TiAl)3O2(Si2O7)(As3+O3)(OH)
Cervantite,Sb3+Sb5+O4
Cervelleite,Ag4TeS
Cesanite,Na3Ca2(SO4)3(OH)
Cesàrolite,Pb(Mn4+)3O6(OH)2
Cesbronite,Cu2+3Te6+O4(OH)4
Cesplumtantite,(CsNa)2(PbSb3+)3Ta8O24
Cetineite,(KNa)6Sb3+12(Sb3+S3)2O18(OH)0.5 · 55H2O
Chloroxyapatite,Ca10(PO4)6(Cl2O)
Chalcosiderite,CuFe3+6(PO4)4(OH)8 · 4H2O
Chlorophoenicite,(MnMg)3Zn2(AsO4)(OHO)6
Chalcophanite,(ZnFeMn)Mn3O7 · 3H2O
Chlorophane,CaF2
Chalcomenite,CuSeO3 · 2H2O
Chlorophaeite,(CaMgFe)2Fe2Si4O13 · 10H2O
Chloroxiphite,Pb3CuO2Cl2(OH)2
Chalconatronite,Na2Cu(CO3)2 · 3H2O
Chalcopyrite,CuFeS2
Chabournéite,Tl4Pb2(SbAs)20S34
Chaidamuite,ZnFe3+(SO4)2(OH) · 4H2O
Chalcanthite,CuSO4 · 5H2O
Chalcedony,SiO2
Chalcoalumite,CuAl4(SO4)(OH)12 · 3H2O
Chalcocite,Cu2S
Chalcocyanite,CuSO4
Chaméanite,(CuFe)4As(SeS)4
Chambersite,Mn2+3(B7O13)Cl
Chamosite,(Fe2+MgAlFe3+)6(SiAl)4O10(OHO)8
Changbaiite,PbNb2O6
Chantalite,CaAl2(SiO4)(OH)4
Chapmanite,Fe3+2Sb3+(Si2O5)O3(OH)
Charlesite,Ca6(AlSi)2(SO4)2[B(OH)4](OHO)12 · 26H2O
Charoite,(KSr)15-16(CaNa)32[Si6O11(OOH)6]2[Si12O18(OOH)12]2[Si17O25(OOH)18]2(OHF)4 · ~3H2O
Chatkalite,Cu6FeSn2S8
Chayesite,K(MgFe)4FeSi12O30
Chrysotile,Mg3(Si2O5)(OH)4
Chalcotrichite,Cu2O
Chalcothallite,Tl2(CuFe)6SbS4
Chalcophyllite,Cu18Al2(AsO4)4(SO4)3(OH)24 · 36H2O
Chlorothionite,K2Cu(SO4)Cl2
Chalcostibite,CuSbS2
Chekhovichite,Bi2Te4+4O11
Chelkarite,CaMgB2O4(ClOH)2 · 5H2O Or near with Cl:OH = 3:1
Chenevixite,Cu2Fe3+2(AsO4)2(OH)4
Chenite,Pb4Cu(SO4)2(OH)6
Cheremnykhite,Pb3Zn3(VO4)2(TeO6)
Cherepanovite,RhAs
Chernikovite,(H3O)2(UO2)2(PO4)2 · 6H2O
Chernovite-(Y),Y(AsO4)
Chernykhite,(BaNa)(V3+AlMg)2((SiAl)4O10)(OH)2
Chervetite,Pb2(V2O7)
Chessexite,(NaK)4Ca2(MgZn)3Al8(SO4)10(SiO4)2 · 40H2O
Chesterite,(MgFe)17Si20O54(OH)6
Chestermanite,Mg2(Fe3+Mn3+AlSb3+)(BO3)O2
Chevkinite,(CeCaTh)4(FeMn)2(TiFe)3[Si2O7]2O8
Chlorosaphir,Al2O3
Chiastolite,Al2(SiO4)O
Chiavennite,CaMnBe2Si5O13(OH)2 · 2H2O
Childrenite,Fe2+Al(PO4)(OH)2 · H2O
Chiluite,Bi3Te6+Mo6+O10.5
Chiolite,Na5Al3F14
Chkalovite,Na2BeSi2O6
Chladniite,{Ca}{Na8}{Ca4Na4}{(MgFe2+)43}(PO4)36
Chlor-manasseite,MgxAl(OH)2x+2Cl · (x-0.8)H2Ox about 1.75
Chlor-spodiosite,Ca2PO4Cl
Chloraluminite,AlCl3 · 6H2O
Chlorapatite,Ca5(PO4)3Cl
Chlorargyrite,AgCl
Chlorellestadite,Ca5(SiO4)1.5(SO4)1.5Cl
Chloritoid,(Fe2+MgMn2+)Al2(SiO4)O(OH)2
Chlormagaluminite,Mg4Al2(OH)12Cl2 · 3H2O
Chlormanganokalite,K4[MnCl6]
Chlorocalcite,KCaCl3
Chloromagnesite,MgCl2
Chloromelanite,Na(AlFe3+)Si2O6
Choloalite,(CuSb)3(PbCa)3(TeO3)6Cl
Chondrodite,(MgFe2+)5(SiO4)2(FOH)2
Chrisstanleyite,Ag2Pd3Se4
Christite,TlHgAsS3
Chromatite,CaCr6+O4
Chromium-dravite,Na(Mg3)Cr3+6(Si6O18)(BO3)3(OH)3(OH)
Chrome-Cerussite,PbCO3
Chromian Diopside,Ca(MgCr)Si2O6
Chrome-bearing Grossular,Ca3(AlCr3+)2(SiO4)3
Chromferide,Fe3Cr1-x (x=0.6)
Chromite,Fe2+Cr3+2O4
Chromium,Cr
Chromohercynite,Fe(AlCr)2O4
Chrysoberyl,BeAl2O4
Chrysocolla,Cu2-xAlx(H2-xSi2O5)(OH)4 · nH2O
Chrysoprase Earth,near NiSi3O7 · 10H2O
Chudobaite,(MgZn)5(AsO4)2(HAsO4)2 · 10H2O
Chukhrovite-(Ce),Ca3(CeY)[F|SO4|(AlF6)2] · 10H2O
Chukhrovite-(Y),Ca3(YCe)[F|SO4|(AlF6)2] · 10H2O
Churchite-(Y),Y(PO4) · 2H2O
Chursinite,(Hg+2)0.5Hg2+(AsO4)
Chvaleticeite,(MnMg)SO4 · 6H2O
Chvilevaite,Na(CuFeZn)2S4
Cianciulliite,Mn(MgMn)2Zn2(OH)10 · 2-4H2O
Cinnabar,HgS
Cirrolite,Ca3Al2(PO4)3(OH)3 (?)
Citrine,SiO2
Clinoclase,Cu3(AsO4)(OH)3
Clairite,(NH4)2Fe3(SO4)4(OH)3 · 3H2O
Claraite,(CuZn)15(CO3)4(AsO4)2(SO4)(OH)14·7H2O
Claringbullite,Cu4ClF(OH)6
Clarkeite,(NaCaPb)(UO2)O(OH) · 0-1H2O
Claudetite,As2O3
Clausthalite,PbSe
Clevelandite,Na(AlSi3O8)
Cliffordite,(UO2)Te4+3O7
Clinoatacamite,Cu2(OH)3Cl
Clinobehoite,Be(OH)2
Clinobisvanite,Bi(VO4)
Clinochalcomenite,CuSeO3 · 2H2O
Clinochlore,Mg5Al(AlSi3O10)(OH)8
Clinoenstatite,MgSiO3
Clinoferrosilite,Fe2+SiO3
Clinoguarinite,Na Ca Zr F Si O
Clinohedrite,CaZn(SiO4) · H2O
Clinohumite,Mg9(SiO4)4F2
Clinojimthompsonite,(MgFe)5Si6O16(OH)2
Clinokurchatovite,Ca(MgFe2+Mn2+)[B2O5]
Mimetite-M,Pb5(AsO4)3Cl
Clinophosinaite,Na12(CaSr)4(Si4O12)(PO4)4
Clinosafflorite,CoAs2
Clinotobermorite,[Ca4Si6O17 · 2H2O]·(Ca·3H2O)
Clinotyrolite,Ca2Cu9(AsO4SO4)4(OHO)10 · 10H2O
Clinoungemachite,(Na K Fe SO4)
Clinozoisite,{Ca2}{Al3}(Si2O7)(SiO4)O(OH)
Clintonite,Ca(MgAl)3(Al3SiO10)(OH)2
Cobaltoan Smithsonite,(ZnCo)CO3
Cobaltkoritnigite,(CoZn)(HAsO4) · H2O
Cobaltomenite,CoSeO3 · 2H2O
Cobaltite,CoAsS
Cobaltoan Calcite,(CaCo)CO3
Coalingite,Mg10Fe3+2(OH)24[CO3] · 2H2O
Cobalt-Chrompicotite,(MgFeCo)(CrAl)2O4
Cobaltpentlandite,(CoNiFe)9S8
Cobaltzippeite,Co(UO2)2(SO4)O2 · 3.5H2O
Cobaltaustinite,CaCo(AsO4)(OH)
Coccinite,HgI2
Cochromite,(CoNiFe)(CrAl)2O4
Coconinoite,Fe3+2Al2(UO2)2(PO4)4(SO4)(OH)2 · 20H2O
Coesite,SiO2
Cobaltoan Dolomite,(CaMgCo)CO3
Coffinite,U(SiO4) · nH2O
Cohenite,Fe3C
Colemanite,Ca[B3O4(OH)3] · H2O
Collinsite,Ca2Mg(PO4)2 · 2H2O
Coloradoite,HgTe
Colquiriite,CaLi[AlF6]
Colusite,Cu13VAs3S16
Comancheite,Hg2+55N3–24(NH2OH)4(ClBr)34
Combeite,Na4.5Ca3.5Si6O17.5(OH)0.5
Comblainite,Ni4Co2(OH)12[CO3] · 3H2O
Compreignacite,K2(UO2)6O4(OH)6 · 7H2O
Congolite,(Fe2+Mg)3(B7O13)Cl
Conichalcite,CaCu(AsO4)(OH)
Connellite,Cu19(SO4)(OH)32Cl4 · 3H2O
Cookeite,(Al2Li)Al2(AlSi3O10)(OH)8
Coombsite,K(MnFeMg)13(SiAl)18O42(OH)14
Cooperite,PtS
Copiapite,Fe2+Fe3+4(SO4)6(OH)2 · 20H2O
Coquandite,Sb6+xO8+x(SO4)(OH)x(H2O)1- x (x = 0.3)
Coquimbite,Fe2-xAlx(SO4)3 · 9H2O x ~0.5
Corderoite,Hg2+3S2Cl2
Cordierite,(MgFe)2Al3(AlSi5O18)
Cordylite-(Ce),NaBaCe2(CO3)4F
Corkite,PbFe3(PO4)(SO4)(OH)6
Cornetite,Cu3(PO4)(OH)3
Cornubite,Cu5(AsO4)2(OH)4
Cornwallite,Cu5(AsO4)2(OH)4
Coronadite,Pb(Mn4+6Mn3+2)O16
Corrensite,(MgFe)9((SiAl)8O20)(OH)10 · nH2O
Corundum,Al2O3
Corundophilite,(MgFeAl)6(SiAl)4O10(OH)8
Corvusite,(NaKCaMg)2(V5+V4+Fe2+)8O20 · 6-10H2O
Cosalite,Pb2Bi2S5
Costibite,CoSbS
Cotunnite,PbCl2
Coulsonite,Fe2+V3+2O4
Cousinite,MgU2Mo2O11 · 6H2O
Covellite,CuS
Cowlesite,CaAl2Si3O10 · 6H2O
Coyoteite,NaFe3S5 · 2H2O
Crandallite,CaAl3(PO4)(PO3OH)(OH)6
Crawfordite,Na3Sr(CO3)(PO4)
Creaseyite,Pb2Cu2Fe3+2(Si4.67Al0.33)O15.33(OH)3 · H2O
Crednerite,CuMnO2
Creedite,Ca3SO4Al2F8(OH)2 · 2H2O
Creolite,SiO2
Crichtonite,Sr(MnYU)Fe2(TiFeCrV)18(OOH)38
Criddleite,TlAg2Au3Sb10S10
Cristobalite,SiO2
Crocoite,PbCrO4
Cronstedtite,Fe2+2Fe3+((SiFe3+)2O5)(OH)4
Crookesite,Cu7(Tl Ag)Se4
Cryolite,Na2NaAlF6
Cryolithionite,Na3Li3[AlF6]2
Cryptohalite,(NH4)2[SiF6]
Cryptomelane,K(Mn4+7Mn3+)O16
Cuproartinite,(CuMg)2CO3(OH)2 · 3H2O
Cualstibite,Cu2Al(OH)6[Sb5+(OH)6]
Cubanite,CuFe2S3
Cummingtonite,☐{Mg2}{Mg5}(Si8O22)(OH)2
Cupalite,(CuZn)Al
Cuprite,Cu2O
Cuproasbolane,(CuNiCo)2-xMn4+(OOH)4 · nH2O
Cuprian Adamite,(ZnCu)2AsO4OH
Cuproapatite,(CaCu)5(PO4)3F
Cuproarquerite,(AgHgCu)
Cuprobismutite,Cu8AgBi13S24
Cuprian Boulangerite,(PbCu)5Sb4S11
Cuprocopiapite,CuFe4(SO4)6(OH)2 · 20H2O
Cuprian Descloizite,Pb(ZnCu)VO4OH
Cuprofaustite,(ZnCu)(AlFe)6(PO4)4(OH)8
Cuproiridsite,(CuFe)Ir2S4
Cupropavonite,Cu0.9Ag0.5Pb0.6Bi2.5S5
Cuprorhodsite,(CuFe)Rh2S4
Cuprorivaite,CaCuSi4O10
Cuprian Scheelite,(CaCu)WO4
Cuprosklodowskite,Cu(UO2)2(SiO3OH]2 · 6H2O
Cuprospinel,Cu2+Fe3+2O4
Cuprostibite,Cu2(SbTl)
Cuprotungstite,Cu2(WO4)(OH)2
Curetonite,Ba(AlTi)(PO4)(OHO)F
Curienite,Pb(UO2)2(VO4)2 · 5H2O
Curite,Pb3(UO2)8O8(OH)6 · 3H2O
Cuspidine,Ca4(Si2O7)(FOH)2
Cuzticite,Fe3+2(TeO6) · 3H2O
Cyanochroite,K2Cu(SO4)2 · 6H2O
Cyanolite,near CaSi4O9 · H2O
Cualstibite-1M,(CuAl)3(OH)6[Sb5+(OH)6]
Cyanotrichite,Cu4Al2(SO4)(OH)12 · 2H2O
Cylindrite,Pb3Sn4FeSb2S14
Cymrite,BaAl2Si2(OOH)8 · H2O
Cyrilovite,NaFe3+3(PO4)2(OH)4 · 2H2O
Chaoite,C
Chengdeite,Ir3Fe
Copper,Cu
Černýite,Cu2(CdZnFe)SnS4
D'Ansite,Na21Mg(SO4)10Cl3
Dadsonite,Pb23Sb25S60Cl
Dalyite,K2ZrSi6O15
Damaraite,Pb3Cl(OH)O2
Cobaltoan Arsenopyrite,(FeCo)AsS
Danbaite,CuZn2
Danburite,CaB2Si2O8
Danielsite,(CuAg)14HgS8
Dannemorite,☐{Mn2+2}{Fe2+5}(Si8O22)(OH)2
Daomanite,CuPtAsS2
Daphnite,(FeMg)5Al(SiAl)4O10(OH)8
Daqingshanite-(Ce),(SrCaBa)3(CeLa)(CO3)3-x(PO4)(OHF)2x
Darapiosite,K(Na◻K)2(LiZnFe)3(MnZrY)2[Si12O30]
Darapskite,Na3(SO4)(NO3) · H2O
Darlingite,SiO2
Dashkesanite,{K}{Ca2}{Fe2+4Fe3+}(Al2Si6O22)(ClOH)2
Daubréeite,(BiO)(OHCl)
Daubréelite,Fe2+Cr3+2S4
Davanite,K2TiSi6O15
Davidite-(Ce),(CeLa)(YUFe)(TiFe)20(OOH)38
Davidite-(La),(LaCe)(YUFe)(TiFe)20(OOH)38
Davidite-(Y),(LaCeNaCaPb)(YFe2+◻)(Fe2+Mn2+)2(TiFe3+NbZr)18O38 (hypothetical)
Davreuxite,MnAl6Si4O17(OH)2
Davyne,(NaK)6Ca2(Al6Si6O24)(Cl2SO4)2
Dawsonite,NaAlCO3(OH)2
Cobaltoan Malanite,Cu(Pt3+Co3+)2S4
Deanesmithite,(Hg+2)Hg2+3(CrO4)S2O
Dechenite,PbZn(VO4AsO4)(OH)
Deeckeite,(HKNa)2(MgCa)(AlFe)2Si10O25 · 9H2O
Deerite,(FeMn)6(FeAl)3[Si6O17]O3(OH)5
Defernite,Ca6(CO3)2-x(SiO4)x(OH)7(ClOH)1-2x (x<0.5)
Degeroite,Fe3+2(Si2O5)(OH)4 · 2H2O
Delafossite,CuFeO2
Delanovite,(NaCa)0.33(AlMg)2(Si4O10)(OH)2 · nH2O
Delessite,(MgFeFeAl)(SiAl)4O10(OOH)8
Delhayelite,(NaK)10Ca5Al6Si32O80(Cl2F2SO4)3 · 18H2O
Delindeite,(NaK)2(BaCa)2(TiFeAl)3(Si2O7)2O2(OH)2 · 2H2O
Dellaite,Ca6Si3O11(OH)2
Deloryite,Cu4(UO2)(MoO4)2(OH)6
Delrioite,CaSr(V2O6)(OH)2 · 3H2O
Delvauxite,CaFe4(PO4SO4)2(OH)8 · 4-6H2O not confirmed ·
Demantoid,Ca3Fe3+2(SiO4)3
Demesmaekerite,Pb2Cu5(UO2)2(SeO3)6(OH)6 · 2H2O
Denisovite,K14+x(CaNaMnFe)48[Si60O162]F16(OxOH4−x)·2H2O
Denningite,(Mn2+CaZn)Te4+2O5
Derbylite,Fe3+4Ti3Sb3+O13(OH)
Derriksite,Cu4(UO2)(SeO3)2(OH)6
Dervillite,Ag2AsS2
Desautelsite,Mg6Mn3+2(OH)16[CO3] · 4H2O
Descloizite,PbZn(VO4)(OH)
Despujolsite,Ca3Mn4+(SO4)2(OH)6 · 3H2O
Devilline,CaCu4(SO4)2(OH)6 · 3H2O
Devitrite,Na2Ca3Si6O16
Deweylite,Mg4Si3O10 · 6H2O ?
Dewindtite,H2Pb3(UO2)2(PO4)4O4 · 12H2O
Dhanrasite,Fe2+3Al2(SiO4)3
Diabantite,(MgFeAl)6((SiAl)4O10)(OH)8
Diaboleite,Pb2CuCl2(OH)4
Diackethyst,SiO2
Diaclasite,near (MgFe)SiO3 · 1/4H2O
Diadochite,Fe3+2(PO4)(SO4)(OH) · 5H2O
Diallage,CaMgSi2O6
Diamond,C
Diaoyudaoite,NaAl11O17
Diaphorite,Ag3Pb2Sb3S8
Diaspore,AlO(OH)
Dickinsonite-(KMnNa),{KNa}{Mn2+◻}{Ca}{Na3}{Mn2+13}{Al}(PO4)12(OH)2
Dickite,Al2(Si2O5)(OH)4
Dietrichite,(ZnFe2+Mn2+)Al2(SO4)4 · 22H2O
Dietzeite,Ca2(IO3)2(CrO4) · H2O
Digenite,Cu9S5
Dimorphite,As4S3
Diomignite,Li2[B4O7]
Diopside,CaMgSi2O6
Dioptase,CuSiO3 · H2O
Dissakisite-(Ce),{CaCe}{Al2Mg}(Si2O7)(SiO4)O(OH)
Dittmarite,(NH4)Mg(PO4) · H2O
